初始解,随机种子,搜索偏好,迭代次数,运行时间（s）,硬时限违反数,硬时限总迟到（s）,加权迟到（硬窗，可行解为0）,完工时间（s）,总能耗（kWh）,架次数
随机种子20260907,20260907,完工时间优先,944,2.2732775829936145,0,0.0,0.0,8252.93113522305,74.93164816685761,29
随机种子20260907,20260907,能耗优先,1320,2.516503124992596,0,0.0,0.0,8940.498200722945,64.7544752841047,24
随机种子20260907,20260907,最少架次优先,1050,1.68202087499958,0,0.0,0.0,10201.43367071636,69.0184526103474,20
随机种子20260908,20260908,完工时间优先,1255,2.84831974998815,0,0.0,0.0,8149.163700137429,75.04394894592289,28
随机种子20260908,20260908,能耗优先,1016,1.7239950420043897,0,0.0,0.0,8940.498200722945,64.7544752841047,24
随机种子20260908,20260908,最少架次优先,992,1.8719945420016302,0,0.0,0.0,8443.41932015506,69.54130024258681,23
随机种子20260909,20260909,完工时间优先,805,1.3242882500053383,0,0.0,0.0,8287.727530004851,72.66227460220226,27
随机种子20260909,20260909,能耗优先,1050,1.526611416004016,0,0.0,0.0,8940.498200722945,64.7544752841047,24
随机种子20260909,20260909,最少架次优先,862,0.9033275419933489,0,0.0,0.0,10201.43367071636,69.0184526103474,20
随机种子20260910,20260910,完工时间优先,803,1.3406065839953953,0,0.0,0.0,8287.727530004851,72.66227460220226,27
随机种子20260910,20260910,能耗优先,903,1.4027207089966396,0,0.0,0.0,8940.498200722945,64.7544752841047,24
随机种子20260910,20260910,最少架次优先,907,1.1767718750052154,0,0.0,0.0,10201.43367071636,69.0184526103474,20
随机种子20260911,20260911,完工时间优先,950,2.366082084001391,0,0.0,0.0,8252.93113522305,74.93164816685761,29
随机种子20260911,20260911,能耗优先,1169,1.9523682080034632,0,0.0,0.0,8940.498200722945,64.7544752841047,24
随机种子20260911,20260911,最少架次优先,874,1.0201072079944424,0,0.0,0.0,10201.43367071636,69.0184526103474,20
随机种子20260912,20260912,完工时间优先,822,1.207361957989633,0,0.0,0.0,8443.41932015506,69.54130024258681,23
随机种子20260912,20260912,能耗优先,1100,2.447821624999051,0,0.0,0.0,8940.498200722945,64.7544752841047,24
随机种子20260912,20260912,最少架次优先,882,1.1226800839940552,0,0.0,0.0,10201.43367071636,69.0184526103474,20
随机种子20260913,20260913,完工时间优先,891,1.5826303329959046,0,0.0,0.0,8287.727530004851,72.66227460220226,27
随机种子20260913,20260913,能耗优先,988,1.6181771659903461,0,0.0,0.0,8940.498200722945,64.7544752841047,24
随机种子20260913,20260913,最少架次优先,869,1.0277424579981016,0,0.0,0.0,10201.43367071636,69.0184526103474,20
随机种子20260914,20260914,完工时间优先,856,1.394355041993549,0,0.0,0.0,8287.727530004851,72.66227460220226,27
随机种子20260914,20260914,能耗优先,895,1.525617000006605,0,0.0,0.0,9618.530930657036,71.32157866672878,23
随机种子20260914,20260914,最少架次优先,860,1.5018811660120264,0,0.0,0.0,8443.41932015506,69.54130024258681,23
随机种子20260915,20260915,完工时间优先,998,1.6546217080031056,0,0.0,0.0,8153.198002186512,80.21477008788247,26
随机种子20260915,20260915,能耗优先,818,1.1573305829952005,0,0.0,0.0,8940.498200722945,64.7544752841047,24
随机种子20260915,20260915,最少架次优先,823,0.8784465839999029,0,0.0,0.0,10201.43367071636,69.0184526103474,20
随机种子20260916,20260916,完工时间优先,843,1.7551267499948153,0,0.0,0.0,8254.14022782919,75.79981083662936,30
随机种子20260916,20260916,能耗优先,849,1.237145541002974,0,0.0,0.0,9521.941123746135,64.8341634494827,23
随机种子20260916,20260916,最少架次优先,885,1.1658763329905923,0,0.0,0.0,10201.43367071636,69.0184526103474,20
随机种子20260917,20260917,完工时间优先,1600,3.5264728340116562,0,0.0,0.0,8151.575618344581,76.43405021350264,30
随机种子20260917,20260917,能耗优先,1012,1.857238332988345,0,0.0,0.0,8940.498200722945,64.7544752841047,24
随机种子20260917,20260917,最少架次优先,885,1.1380861659999937,0,0.0,0.0,10201.43367071636,69.0184526103474,20
随机种子20260918,20260918,完工时间优先,853,1.3864801659947261,0,0.0,0.0,8430.376934857039,77.10500508470422,24
随机种子20260918,20260918,能耗优先,878,1.4775674999982584,0,0.0,0.0,8940.498200722945,64.7544752841047,24
随机种子20260918,20260918,最少架次优先,845,1.0309418329998152,0,0.0,0.0,10201.43367071636,69.0184526103474,20
随机种子20260919,20260919,完工时间优先,812,1.2567284169927007,0,0.0,0.0,8287.727530004851,72.66227460220226,27
随机种子20260919,20260919,能耗优先,1475,2.7266930830082856,0,0.0,0.0,8940.498200722945,64.7544752841047,24
随机种子20260919,20260919,最少架次优先,903,1.1360550840036012,0,0.0,0.0,10201.43367071636,69.0184526103474,20
随机种子20260920,20260920,完工时间优先,1129,2.8936112500086892,0,0.0,0.0,8120.931135223051,76.98788168025206,30
随机种子20260920,20260920,能耗优先,839,1.6154889580066083,0,0.0,0.0,9371.591114307626,73.05855583504531,27
随机种子20260920,20260920,最少架次优先,823,1.3530802080058493,0,0.0,0.0,8700.539416699892,75.45036643120781,23
