货箱编号,架次编号,服务区编号,物资类型,是否硬时限,要求时刻（s）,送达时刻（s）,迟到时间（s）,应急优先系数
S013-WAT-01,T005,S013,饮用水,是,3600.0,1058.0184761007592,0.0,12.0
S012-FOD-01,T006,S012,应急食品,否,7200.0,2782.91318882315,0.0,10.0
S012-MED-01,T006,S012,医疗物资,是,3600.0,2782.91318882315,0.0,22.0
S012-WAT-01,T006,S012,饮用水,是,3600.0,2782.91318882315,0.0,12.0
S014-FOD-01,T007,S014,应急食品,否,7200.0,2784.398849163673,0.0,10.0
S014-MED-01,T007,S014,医疗物资,是,3600.0,2784.398849163673,0.0,22.0
S014-WAT-01,T007,S014,饮用水,是,3600.0,2784.398849163673,0.0,12.0
S002-MED-01,T008,S002,医疗物资,是,3600.0,1287.4664675113036,0.0,24.0
S002-WAT-01,T008,S002,饮用水,是,3600.0,1287.4664675113036,0.0,12.0
S008-FOD-01,T009,S008,应急食品,否,10800.0,4595.740525333853,0.0,8.0
S008-HYG-01,T009,S008,生活卫生用品,否,14400.0,4595.740525333853,0.0,6.0
S008-MED-01,T009,S008,医疗物资,是,7200.0,4595.740525333853,0.0,20.0
S008-WAT-01,T009,S008,饮用水,是,7200.0,4595.740525333853,0.0,10.0
S008-WAT-02,T009,S008,饮用水,否,7200.0,4595.740525333853,0.0,10.0
S011-FOD-01,T009,S011,应急食品,否,14400.0,3727.8571523188857,0.0,6.0
S011-MED-01,T009,S011,医疗物资,是,10800.0,3727.8571523188857,0.0,16.0
S011-WAT-01,T009,S011,饮用水,是,10800.0,3727.8571523188857,0.0,8.0
S003-FOD-01,T010,S003,应急食品,否,10800.0,4832.657733168814,0.0,8.0
S003-MED-01,T010,S003,医疗物资,是,7200.0,4832.657733168814,0.0,20.0
S003-WAT-01,T010,S003,饮用水,是,7200.0,4832.657733168814,0.0,10.0
S003-WAT-02,T010,S003,饮用水,否,7200.0,4832.657733168814,0.0,10.0
S003-WAT-03,T010,S003,饮用水,否,7200.0,4832.657733168814,0.0,10.0
S003-WAT-04,T010,S003,饮用水,否,7200.0,4832.657733168814,0.0,10.0
S004-FOD-01,T011,S004,应急食品,否,10800.0,6880.527798296993,0.0,8.0
S004-HYG-01,T011,S004,生活卫生用品,否,14400.0,6880.527798296993,0.0,6.0
S004-MED-01,T011,S004,医疗物资,是,7200.0,6880.527798296993,0.0,20.0
S004-WAT-01,T011,S004,饮用水,是,7200.0,6880.527798296993,0.0,10.0
S004-WAT-02,T011,S004,饮用水,否,7200.0,6880.527798296993,0.0,10.0
S004-WAT-03,T011,S004,饮用水,否,7200.0,6880.527798296993,0.0,10.0
S002-FOD-01,T012,S002,应急食品,否,7200.0,7072.054667532897,0.0,10.0
S002-FOD-02,T012,S002,应急食品,否,7200.0,7072.054667532897,0.0,10.0
S002-HYG-01,T012,S002,生活卫生用品,否,10800.0,7072.054667532897,0.0,8.0
S002-WAT-04,T012,S002,饮用水,否,3600.0,7072.054667532897,3472.054667532897,12.0
S009-FOD-01,T012,S009,应急食品,否,14400.0,7568.104994324034,0.0,6.0
S009-MED-01,T012,S009,医疗物资,是,10800.0,7568.104994324034,0.0,16.0
S009-WAT-01,T012,S009,饮用水,是,10800.0,7568.104994324034,0.0,8.0
S005-FOD-01,T013,S005,应急食品,否,14400.0,9229.815340603243,0.0,6.0
S005-HYG-01,T013,S005,生活卫生用品,否,18000.0,9229.815340603243,0.0,4.0
S005-MED-01,T013,S005,医疗物资,是,10800.0,9229.815340603243,0.0,16.0
S005-WAT-01,T013,S005,饮用水,是,10800.0,9229.815340603243,0.0,8.0
S005-WAT-02,T013,S005,饮用水,否,10800.0,9229.815340603243,0.0,8.0
S005-WAT-03,T013,S005,饮用水,否,10800.0,9229.815340603243,0.0,8.0
S001-FOD-01,T014,S001,应急食品,否,7200.0,9483.626700453098,2283.6267004530982,10.0
S001-FOD-02,T014,S001,应急食品,否,7200.0,9483.626700453098,2283.6267004530982,10.0
S001-FOD-03,T014,S001,应急食品,否,7200.0,9483.626700453098,2283.6267004530982,10.0
S001-HYG-01,T014,S001,生活卫生用品,否,10800.0,9483.626700453098,0.0,8.0
S001-HYG-02,T014,S001,生活卫生用品,否,10800.0,9483.626700453098,0.0,8.0
S001-WAT-06,T014,S001,饮用水,否,3600.0,9483.626700453098,5883.626700453098,12.0
S001-WAT-07,T014,S001,饮用水,否,3600.0,9483.626700453098,5883.626700453098,12.0
S001-WAT-08,T014,S001,饮用水,否,3600.0,9483.626700453098,5883.626700453098,12.0
S002-WAT-02,T015,S002,饮用水,否,3600.0,4562.657284704894,962.6572847048938,12.0
S002-WAT-03,T015,S002,饮用水,否,3600.0,4562.657284704894,962.6572847048938,12.0
S003-FOD-02,T016,S003,应急食品,否,10800.0,4733.090831470396,0.0,8.0
S003-HYG-01,T016,S003,生活卫生用品,否,14400.0,4733.090831470396,0.0,6.0
