Pareto点,普通物资加权迟到,完工时间（s）,总能耗（kWh）,架次数,归一化及时性,归一化完工时间,归一化能耗,归一化架次,理想点距离,代表方案
16,274249.3378965021,9944.471026537274,62.20617474583988,18.0,0.08899442237347026,0.07438480897356253,0.3780427042938886,0.8,0.44619765611482587,
17,279860.1920554173,9835.702546125773,63.150411091256615,18.0,0.09569062868877899,0.04896766895165259,0.49165667893739173,0.8,0.4725676721288598,
18,285489.94877107785,10390.35592960999,63.378374976786105,17.0,0.10240939403276125,0.1785796912793428,0.5190861283923915,0.6,0.4098258162966876,
19,287112.6222327943,10874.90923680545,59.469428545727816,17.0,0.10434595413114926,0.2918106494620059,0.04874738019999605,0.6,0.33853280504234023,
20,295981.1467045313,10434.537557621728,59.72053870349294,17.0,0.11492998784386958,0.18890410347414205,0.07896187388638524,0.6,0.3221523862796964,
21,304876.50693887094,10008.127083424686,62.96891351150032,17.0,0.1255460483742413,0.08926002746543481,0.46981822554128966,0.6,0.38873459063231164,
22,305369.93173468707,10384.842705720997,61.65134251533407,17.0,0.12613492025369016,0.17729135496142684,0.31128325865926365,0.6,0.35504911976126396,
23,308607.94005364686,10276.074225309494,62.59557886075081,17.0,0.12999928228134852,0.15187421493951647,0.4248972333027677,0.6,0.38095381919121996,
24,333401.39627793565,9626.15344120785,60.40730109337593,17.0,0.15958873398428008,0.0,0.161595639393305,0.6,0.32077317324148086,完工时间优先
25,345087.79307321674,9796.155071302372,59.852468862870126,16.0,0.1735357234813115,0.03972617085131644,0.09483619375868095,0.4,0.2239903567239694,综合折中
26,401452.3412645168,10434.537557621728,59.77740774995607,16.0,0.24080331463022855,0.18890410347414205,0.08580456579739232,0.4,0.2554571491258139,
27,408673.88697175303,10235.9575032359,59.61912533164492,17.0,0.24942178137370125,0.14249969450577557,0.06675944563462406,0.6,0.33428064988094663,
28,438570.41194076644,10434.537557621728,59.52253078525463,16.0,0.285101429005462,0.18890410347414205,0.055136836107298706,0.4,0.264578748119652,
29,442371.5864376959,10824.497794103168,59.31540325890425,16.0,0.28963789492509134,0.28003044721018805,0.030214493686389204,0.4,0.284262236838672,
30,443290.13436995103,10434.537557621728,59.06429310113912,16.0,0.29073412489127354,0.18890410347414205,0.0,0.4,0.2646748437638455,能耗优先
31,448981.0223891317,11412.023452682468,60.71321666107368,15.0,0.2975258466531381,0.41732409950797106,0.19840452068681827,0.2,0.2924232323558491,
32,483467.3052944881,10113.809710125046,59.84442557490254,17.0,0.3386830856121025,0.1139560617445185,0.09386839589786396,0.6,0.35231501963317335,
33,499601.245821571,10113.809710125046,59.69418644455897,17.0,0.35793794260684497,0.1139560617445185,0.07579107359591182,0.6,0.3559669372296964,
34,526965.7603467514,10283.811340219567,59.13935421405317,16.0,0.390595792871536,0.15368223259583494,0.00903162796128777,0.4,0.2899417494636704,
35,539210.294647072,11412.023452682468,60.000102012256725,15.0,0.4052088848513984,0.41732409950797106,0.11259995488942509,0.2,0.31266291522730727,
36,806620.646990425,12880.05601074086,59.94983762425834,15.0,0.7243465489974759,0.7603755878042733,0.10655195966954294,0.2,0.5371690324475776,
37,901267.3029259634,13887.59763586255,63.34763522797024,14.0,0.8373014605400246,0.9958190404178923,0.5153874092534112,0.0,0.6997059165639186,最少架次优先
38,970142.4379204534,13887.59763586255,63.00307242958051,14.0,0.9194996608238503,0.9958190404178923,0.4739283516463168,0.0,0.7179385889489752,
39,1037594.9090051585,13905.489366404057,62.597413093127514,14.0,1.0,1.0,0.4251179348588435,0.0,0.7383639445657284,
