货箱编号,架次编号,服务区,物资类型,要求时刻（s）,交付完成时刻（s）,松弛量（s）,是否按时
S001-WAT-08,T008,S001,饮用水,3600.0,1182.269530819113,2417.7304691808868,是
S003-FOD-02,T009,S003,应急食品,10800.0,3397.1757005599047,7402.824299440095,是
S003-HYG-01,T009,S003,生活卫生用品,14400.0,3397.1757005599047,11002.824299440095,是
S003-WAT-02,T009,S003,饮用水,7200.0,3397.1757005599047,3802.8242994400953,是
S003-WAT-04,T009,S003,饮用水,7200.0,3397.1757005599047,3802.8242994400953,是
S007-HYG-01,T009,S007,生活卫生用品,10800.0,2829.912264788266,7970.087735211734,是
S007-WAT-01,T009,S007,饮用水,3600.0,2829.912264788266,770.0877352117341,是
S007-WAT-02,T009,S007,饮用水,3600.0,2829.912264788266,770.0877352117341,是
S012-FOD-01,T010,S012,应急食品,7200.0,2781.772326683841,4418.227673316159,是
S012-MED-01,T010,S012,医疗物资,3600.0,2781.772326683841,818.2276733161589,是
S012-WAT-01,T010,S012,饮用水,3600.0,2781.772326683841,818.2276733161589,是
S014-FOD-01,T011,S014,应急食品,7200.0,2797.8143374418887,4402.185662558111,是
S014-MED-01,T011,S014,医疗物资,3600.0,2797.8143374418887,802.1856625581113,是
S014-WAT-01,T011,S014,饮用水,3600.0,2797.8143374418887,802.1856625581113,是
S001-FOD-03,T012,S001,应急食品,7200.0,2803.823381129233,4396.176618870767,是
S001-HYG-02,T012,S001,生活卫生用品,10800.0,2803.823381129233,7996.176618870767,是
S001-MED-01,T012,S001,医疗物资,3600.0,2803.823381129233,796.176618870767,是
S001-WAT-02,T012,S001,饮用水,3600.0,2803.823381129233,796.176618870767,是
S001-WAT-04,T012,S001,饮用水,3600.0,2803.823381129233,796.176618870767,是
S001-WAT-05,T012,S001,饮用水,3600.0,2803.823381129233,796.176618870767,是
S005-HYG-01,T012,S005,生活卫生用品,18000.0,3364.450240299598,14635.549759700401,是
S005-WAT-01,T012,S005,饮用水,10800.0,3364.450240299598,7435.549759700401,是
S002-FOD-01,T013,S002,应急食品,7200.0,3711.700092105678,3488.299907894322,是
S009-WAT-01,T013,S009,饮用水,10800.0,3311.7110234218612,7488.288976578138,是
S002-FOD-02,T014,S002,应急食品,7200.0,3563.3399919021285,3636.6600080978715,是
S002-WAT-03,T014,S002,饮用水,3600.0,3563.3399919021285,36.66000809787147,是
S015-FOD-01,T015,S015,应急食品,14400.0,4590.790651071305,9809.209348928696,是
S015-WAT-01,T015,S015,饮用水,10800.0,4590.790651071305,6209.209348928695,是
S002-HYG-01,T016,S002,生活卫生用品,10800.0,4696.184627507306,6103.815372492694,是
S003-MED-01,T017,S003,医疗物资,7200.0,5567.670950416923,1632.329049583077,是
S007-FOD-01,T017,S007,应急食品,7200.0,5110.203064190329,2089.7969358096707,是
S004-FOD-01,T018,S004,应急食品,10800.0,5703.453905891349,5096.546094108651,是
S004-HYG-01,T018,S004,生活卫生用品,14400.0,5703.453905891349,8696.546094108651,是
S004-MED-01,T018,S004,医疗物资,7200.0,5703.453905891349,1496.5460941086512,是
S004-WAT-01,T018,S004,饮用水,7200.0,5703.453905891349,1496.5460941086512,是
S004-WAT-02,T018,S004,饮用水,7200.0,5703.453905891349,1496.5460941086512,是
S004-WAT-03,T018,S004,饮用水,7200.0,5703.453905891349,1496.5460941086512,是
S003-FOD-01,T019,S003,应急食品,10800.0,5567.670950416923,5232.329049583077,是
S003-WAT-03,T019,S003,饮用水,7200.0,5567.670950416923,1632.329049583077,是
S008-FOD-01,T020,S008,应急食品,10800.0,5719.001664330583,5080.998335669417,是
S008-HYG-01,T020,S008,生活卫生用品,14400.0,5719.001664330583,8680.998335669417,是
S008-MED-01,T020,S008,医疗物资,7200.0,5719.001664330583,1480.9983356694174,是
S008-WAT-01,T020,S008,饮用水,7200.0,5719.001664330583,1480.9983356694174,是
S008-WAT-02,T020,S008,饮用水,7200.0,5719.001664330583,1480.9983356694174,是
S005-MED-01,T021,S005,医疗物资,10800.0,5857.68003414057,4942.31996585943,是
S005-WAT-03,T021,S005,饮用水,10800.0,5857.68003414057,4942.31996585943,是
S011-MED-01,T021,S011,医疗物资,10800.0,5307.951464777927,5492.048535222073,是
S005-FOD-01,T022,S005,应急食品,14400.0,5857.673613128443,8542.326386871557,是
S005-WAT-02,T022,S005,饮用水,10800.0,5857.673613128443,4942.326386871557,是
S001-FOD-01,T023,S001,应急食品,7200.0,6129.585362964692,1070.4146370353083,是
S001-FOD-02,T023,S001,应急食品,7200.0,6129.585362964692,1070.4146370353083,是
S011-FOD-01,T024,S011,应急食品,14400.0,6138.988562724457,8261.011437275543,是
S011-WAT-01,T024,S011,饮用水,10800.0,6138.988562724457,4661.011437275543,是
